Project,Applicant Type,OSS Directory,Link,Githubs,Tags
Arbiter,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xB3350C168Cc9B62bd099c1732830B6Bc09bF3343.json,"https://github.com/primitivefinance/arbiter, https://github.com/primitivefinance/DisputeGameSimulations, https://github.com/primitivefinance/portfolio_simulations/pull/36",
nic,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xD2A333009E5cEEF7EDfD6f82489005d1DC6ae9E8.json,"https://github.com/size-market/sybil-interface, https://github.com/size-market/gas-zip-backend",
OP Reth,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3BEFcAE114bF14ce0F8E6E205759E9176B66d8D6.json,https://github.com/paradigmxyz/reth/pull/4377,
WhatsABI,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5913c6862f3d6641cfDF16a974245f47E58d4BE2.json,https://github.com/shazow/whatsabi,
zenbit.eth,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x04cc6b487566B1C821bEa04d7ac0d23CEDe05cC9.json,https://github.com/orgs/zenbitETH/repositories,
BoomJ,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x002748dB885D4CCfe3C7C92143f0805F4eBEEC01.json,https://github.com/boomjeth,
Private Retrieval Fund,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xbd43CDeDaaF8CFCFeC0C6597edF748FE402F6F00.json,"https://github.com/protocol/research-grants/blob/master/RFPs/rfp-014-private-retrieval-of-data.md, https://github.com/willscott",
Onchain Magic,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xcfBf34d385EA2d5Eb947063b67eA226dcDA3DC38.json,https://github.com/SweetmanTech/pwa-privy,
Mike-Alphaday,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x4C67a8bA135012B7ab124A323E08448a673bb8Dc.json,https://github.com/AlphadayHQ,
AyaHQ,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xf203D6C796B99d0F2f861d1B838074822dd64D7c.json,https://github.com/Aya-labs,
Yoki Finance,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3A5B12814b03C517FDAB62d8781c22f3406aeef4.json,https://github.com/yokifinance/yoki-dca-protocol-foundry/,
Frisson,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xb5B069370Ef24BC67F114e185D185063CE3479f8.json,https://github.com/withtally/rollcall,
Vku,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x153509e78Fd04144d482E27716aE14c52d7932B0.json,https://github.com/zemberek82,
katut,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x17fE5F37E24bD76272DA9364e4B2b7D186a562f7.json,https://github.com/juliokatut,
Yoki Finance,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x3A5B12814b03C517FDAB62d8781c22f3406aeef4.json,https://github.com/yokifinance/yoki-dca-protocol-foundry/,
Department of Decentralization,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x59cc3Fc56B8B2988F259EC1E6f3446907130f728.json,"https://github.com/eth-clients/goerli, https://github.com/eth-clients/holesky",
Forum,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xEeC7E4B2287e98B6ca30242e2D2D2F283a78Fc82.json,https://github.com/forumdaos/forum-contracts,
JustCause,PROJECT,Not Found,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x78726673245fdb56425c8bd782f6FaA3E447625A.json,"https://github.com/smeee23/just_cause, https://github.com/smeee23/justcause_contracts",
Uhtred,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xfd555256bE7f02Ce04509fa5dEC7C66164C33C66.json,,COLLECTIVE_GOVERNANCE
Baustalla,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xe0278bc20A01494cCf0Dc51AEe9ad21b3Ff5Cd1a.json,,"COLLECTIVE_GOVERNANCE, OP_STACK"
Soulplusmind,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5F33bB9707eb984C1044Eb84b04C4a024e8D7677.json,,END_USER_EXPERIENCE_AND_ADOPTION
ShivaSwap,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x8092b1C179A87eba3B4733d93158422db6A75f57.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
raho & tnorm,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x842bB1bb84CC8A3D6277b0ff9729d22D55E9C50B.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
G,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x56656e5C76B5B552F5e89a82fc46912d95790480.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
MRFD,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x5Dcecb56dE00BE7803Fa199E9ad44F2dEd5D949a.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Sbr777,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x67230d5d44430031a834090aCb16130DFd8bf2c3.json,,"END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
hsynus,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x0ED0898B70D4e145321f477a88550Ed7C4313c5a.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
Optimism Indonesia,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x0403c342E9F2d829864c95e51857A7187381F7DA.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
deni80,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x73c6E20e8438CbcFed3A7bBB322e0B1af2B5bC27.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Benedictus Aldo,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xa22Af02d999f33cc7d02726881D2ccD7Bd1b6383.json,,END_USER_EXPERIENCE_AND_ADOPTION
jockytran,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x12E37f963c000a807F8634aBEb7059541cDD19Ef.json,,COLLECTIVE_GOVERNANCE
LuongDuyBatNha,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x960371173BDb7963F881b13123999Bcc537e2BEB.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
mixed,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xb0Aa6DF0B24a7b4EA679FD031cE753526d3Bdb23.json,,"DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION"
mrlawyer88,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xa47dCC127BD2487B01477D8e381dCEd5de5e5033.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
radja,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xfaED2693Bbfd56142ba43b02606A66701De0E41E.json,,END_USER_EXPERIENCE_AND_ADOPTION
artespraticas,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xF0854C4dC9d3f1EBD4f0e44eb91587F7fc5Bd518.json,,END_USER_EXPERIENCE_AND_ADOPTION
xide,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x8bD036Ec5Fce5341fdFd3A8c1F108a6820B55D92.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
viperbaba,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x2374646285D252abA3a25A06A38a7194BA4254ce.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Peter Priew Sommon,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x1F27b0482ace1B82cf7A4f0c55dfc2A05dfCfD75.json,,END_USER_EXPERIENCE_AND_ADOPTION
Windy|∞🦇🔊🛡🐫,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xBb1C043cEb7745b286987b4cC8359c5B508F0307.json,,END_USER_EXPERIENCE_AND_ADOPTION
i.vovkotrub.eth,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xBb1B620196f8431da5D34F1773127A523359F307.json,,END_USER_EXPERIENCE_AND_ADOPTION
Apple,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x08DC8489c7CB11010210Ffe7acA543e2DB18DEaf.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
dudedodut,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xD2F5DBC276BC3d9D2E07F5dF4A599E2c5a158B47.json,,END_USER_EXPERIENCE_AND_ADOPTION
METE DAMLI,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x8fBFD3faBD443334B6f413b5931477d4DeBEAFa9.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
Patil,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x064299010cb690Cb1C370784cc67F8504f0479eE.json,,"COLLECTIVE_GOVERNANCE, DEVELOPER_ECOSYSTEM, END_USER_EXPERIENCE_AND_ADOPTION, OP_STACK"
glbkst,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x46642e15d77BbE0bDfcfbf348C38b06153D16049.json,,END_USER_EXPERIENCE_AND_ADOPTION
Jush,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x6CADb247fAd36CF94a9e261EF809FdEb390C8418.json,,"COLLECTIVE_GOVERNANCE, END_USER_EXPERIENCE_AND_ADOPTION"
Aakash,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xfcFFE7AeA3f70f7975cd64ace7717caa211a706f.json,,END_USER_EXPERIENCE_AND_ADOPTION
Paul0zon,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0x2FFd669e12d0497e8457641AC27b386bD2A3C4e4.json,,COLLECTIVE_GOVERNANCE
Neko,INDIVIDUAL,,https://content.optimism.io/rpgf3Application/v0/metadata/10/0xFF43aa03358E3623F992B40363B064C3Cf878751.json,,OP_STACK
